country,gender,salary_midpoint,employment_status
Argentina,Male,15000,Employed full-time
Argentina,Male,210000,Freelance / Contractor
Argentina,Male,75000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,15000,Employed full-time
Argentina,Male,,
Argentina,Male,,
Argentina,,25000,Employed full-time
Argentina,Male,,Employed full-time
Argentina,Male,5000,Employed part-time
Argentina,Male,,
Argentina,Male,35000,Employed full-time
Argentina,Male,25000,Employed full-time
Armenia,Male,5000,Self-employed
Armenia,Male,,Unemployed
Armenia,Male,135000,Self-employed
Armenia,Male,,
Armenia,Male,5000,Freelance / Contractor
Armenia,Male,15000,Employed full-time
Armenia,Prefer not to disclose,,
Armenia,Male,5000,I'm a student
Armenia,Male,25000,Employed full-time
Armenia,Male,15000,Employed full-time
Australia,Male,,Employed full-time
Australia,Male,75000,Employed full-time
Australia,Male,105000,Self-employed
Australia,Male,,Prefer not to disclose
Australia,Male,55000,Freelance / Contractor
Australia,Male,75000,Self-employed
Australia,Female,,
Australia,Male,95000,Employed full-time
Australia,Male,,Unemployed
Australia,Female,5000,I'm a student
Australia,Male,65000,Employed full-time
Australia,Male,45000,Employed full-time
Australia,Male,,Freelance / Contractor
Australia,Male,55000,Employed full-time
Australia,Male,65000,Employed full-time
Australia,Male,15000,Freelance / Contractor
Australia,Male,45000,Employed full-time
Australia,Male,35000,Employed full-time
Australia,Male,55000,Employed full-time
Australia,Female,75000,Employed full-time
Australia,Male,,Unemployed
Australia,Male,5000,I'm a student
Australia,Male,65000,Employed full-time
Australia,Male,,
Australia,Male,65000,Employed full-time
Australia,Male,75000,Employed full-time
Australia,Male,,
Australia,Male,55000,Employed full-time
Australia,Male,,
Australia,Male,95000,Employed full-time
Australia,Male,115000,Freelance / Contractor
Australia,Male,35000,Employed full-time
Australia,Male,35000,
Australia,Male,,Employed full-time
Australia,Male,95000,Employed full-time
Australia,Male,,
Australia,Male,5000,Other (please specify)
Australia,Male,105000,Employed full-time
Australia,Male,,
Australia,Male,105000,I'm a student
Australia,Male,,Self-employed
Australia,Male,,
Australia,Male,65000,Employed full-time
Australia,Male,115000,Employed full-time
Australia,Female,105000,Employed full-time
Australia,Male,105000,Employed full-time
Australia,Male,5000,Employed part-time
Australia,Male,55000,Employed full-time
Australia,Male,35000,Employed full-time
Australia,Male,165000,Employed full-time
Australia,Female,105000,Employed full-time
Austria,Male,35000,Self-employed
Austria,Male,,
Austria,Male,,Unemployed
Austria,Male,15000,Freelance / Contractor
Austria,Male,,Self-employed
Austria,Male,25000,Freelance / Contractor
Austria,Male,,
Austria,Male,35000,Employed part-time
Austria,Female,5000,Freelance / Contractor
Austria,Male,185000,Employed full-time
Austria,Male,55000,Employed full-time
Austria,Male,45000,Self-employed
Austria,Male,5000,Other (please specify)
Austria,Female,5000,I'm a student
Austria,Male,45000,Employed full-time
Austria,Female,,
Austria,Male,,Employed full-time
Austria,Male,55000,Employed full-time
Austria,Male,,Other (please specify)
Austria,Male,15000,Self-employed
Austria,Male,55000,Employed full-time
Austria,Male,55000,Employed full-time
Austria,Male,35000,Employed full-time
Austria,Male,35000,Employed full-time
Austria,Male,5000,Other (please specify)
Austria,Male,,
Austria,Male,35000,Employed full-time
Austria,Male,85000,Employed full-time
Austria,Male,,Employed full-time
Austria,Male,25000,Employed full-time
Austria,Male,,
Austria,Male,135000,Freelance / Contractor
Austria,Male,,Self-employed
Austria,Male,55000,Employed full-time
Austria,Male,,I'm a student
Austria,Male,65000,Employed full-time
Austria,Male,15000,Freelance / Contractor
Austria,Male,135000,I'm a student
Austria,Male,55000,Freelance / Contractor
Austria,Male,35000,Employed full-time
Austria,Male,75000,Self-employed
Austria,Other,,Employed full-time
Austria,Male,,
Austria,Male,45000,Employed full-time
Austria,Male,15000,Employed part-time
Austria,Male,,
Austria,Male,55000,Employed full-time
Austria,Male,45000,Employed full-time
Austria,Male,15000,I'm a student
Austria,Male,45000,Employed full-time
Austria,Male,,Self-employed
Austria,Male,75000,Employed full-time
Austria,Male,,
Austria,Male,115000,Freelance / Contractor
Austria,Male,105000,Employed full-time
Austria,Male,75000,Employed full-time
Austria,Male,,
Austria,Male,,Employed part-time
Austria,Male,65000,Self-employed
Austria,Male,,Self-employed
Austria,Male,5000,Self-employed
Austria,Male,,
Austria,Male,,
Austria,Male,35000,Employed full-time
Austria,Male,5000,Freelance / Contractor
Austria,Male,5000,I'm a student
Austria,Male,135000,Freelance / Contractor
Austria,Male,35000,Employed full-time
Austria,Male,35000,Freelance / Contractor
Austria,Male,5000,I'm a student
Austria,Male,,
Austria,Male,65000,Employed part-time
Austria,Female,,I'm a student
Austria,Male,,
Austria,Male,45000,Freelance / Contractor
Austria,Male,75000,Self-employed
Austria,Male,65000,Employed full-time
Austria,Male,,I'm a student
Austria,Male,,
Austria,Male,35000,Employed full-time
Austria,Male,,I'm a student
Austria,Male,125000,Employed full-time
Austria,Male,,I'm a student
Austria,Male,25000,Self-employed
Austria,Male,,I'm a student
Austria,Male,5000,I'm a student
Austria,Male,55000,Employed full-time
Austria,Male,5000,Freelance / Contractor
Austria,Male,5000,Employed full-time
Austria,Male,45000,Employed full-time
Austria,Male,35000,Other (please specify)
Austria,Male,55000,Employed full-time
Austria,Male,35000,Employed full-time
Austria,Prefer not to disclose,,
Austria,Male,45000,Employed part-time
Austria,Male,,Employed full-time
Austria,Female,5000,I'm a student
Austria,Male,55000,Employed full-time
Austria,Male,145000,I'm a student
Austria,Male,45000,Self-employed
Austria,Male,35000,Employed full-time
Austria,Male,85000,Freelance / Contractor
Austria,Male,,
Austria,Male,,Employed full-time
Austria,Male,5000,Freelance / Contractor
Austria,Male,15000,Employed part-time
Austria,Male,25000,I'm a student
Austria,Male,,Prefer not to disclose
Austria,Male,,
Austria,Female,15000,Employed part-time
Austria,Male,5000,I'm a student
Austria,Male,35000,Employed full-time
Austria,Male,55000,Self-employed
Austria,Male,,Employed part-time
Austria,Male,,I'm a student
Austria,Male,35000,Employed part-time
Austria,Prefer not to disclose,5000,
Austria,Female,55000,Employed full-time
Austria,Male,,Employed part-time
Austria,Male,45000,Employed full-time
Austria,Male,,Employed full-time
Austria,Male,45000,Employed full-time
Austria,Male,65000,Employed full-time
Austria,Male,,Employed full-time
Austria,Male,25000,Employed full-time
Austria,Male,,
Austria,Male,35000,Freelance / Contractor
Austria,Male,15000,I'm a student
Azerbaijan,Male,15000,Employed full-time
Azerbaijan,Male,15000,Employed full-time
Azerbaijan,Male,,Freelance / Contractor
Azerbaijan,Male,,I'm a student
Bahamas,Male,95000,Employed full-time
Bahrain,Prefer not to disclose,45000,Employed full-time
Bangladesh,Male,,I'm a student
Bangladesh,Prefer not to disclose,5000,I'm a student
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,15000,Employed full-time
Bangladesh,Male,15000,Prefer not to disclose
Bangladesh,Male,5000,Employed full-time
Bangladesh,Female,,
Bangladesh,Male,,
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,,Unemployed
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,,I'm a student
Bangladesh,Male,5000,Freelance / Contractor
Bangladesh,Male,15000,Employed part-time
Bangladesh,Male,5000,Employed full-time
Bangladesh,Male,,I'm a student
Belarus,Male,5000,Freelance / Contractor
Belarus,Male,15000,Freelance / Contractor
Belgium,Male,85000,Employed full-time
Belgium,Male,,
Belgium,Male,,I'm a student
Belgium,Male,85000,Employed full-time
Belgium,Male,45000,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,85000,Freelance / Contractor
Belgium,Male,45000,Employed full-time
Belgium,Male,,
Belgium,Male,,
Belgium,Male,55000,Employed full-time
Belgium,Male,,Freelance / Contractor
Belgium,Male,,
Belgium,Male,,I'm a student
Belgium,Male,5000,I'm a student
Belgium,Male,65000,Employed full-time
Belgium,Male,55000,Other (please specify)
Belgium,Male,5000,I'm a student
Belgium,Male,5000,I'm a student
Belgium,Male,,
Belgium,Male,35000,Employed full-time
Belgium,Male,,
Belgium,Male,45000,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,35000,Employed full-time
Belgium,Male,5000,I'm a student
Belgium,Male,,
Belgium,Male,5000,I'm a student
Belgium,Male,,
Belgium,Male,65000,Freelance / Contractor
Belgium,Male,35000,I'm a student
Belgium,Male,,
Belgium,Male,,
Belgium,Male,,
Belgium,Male,,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,,
Belgium,Male,75000,Employed full-time
Belgium,Male,,
Belgium,Male,95000,Employed full-time
Belgium,Male,5000,I'm a student
Belgium,Male,35000,Freelance / Contractor
Belgium,Male,5000,Freelance / Contractor
Belgium,Male,125000,Freelance / Contractor
Belgium,Male,,I'm a student
Belgium,Male,125000,Freelance / Contractor
Belgium,Male,,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,35000,Employed full-time
Belgium,Male,5000,I'm a student
Belgium,Male,35000,Employed full-time
Belgium,Female,,
Belgium,Female,5000,I'm a student
Belgium,Male,5000,I'm a student
Belgium,Male,5000,I'm a student
Belgium,Male,,
Belgium,Male,25000,Freelance / Contractor
Belgium,Male,55000,Employed part-time
Belgium,Male,15000,Freelance / Contractor
Belgium,Male,,Employed full-time
Belgium,Male,,
Belgium,Male,25000,Employed full-time
Belgium,Male,5000,I'm a student
Belgium,Male,45000,Freelance / Contractor
Belgium,Male,,I'm a student
Belgium,Male,15000,Self-employed
Belgium,Male,45000,Employed full-time
Belgium,Male,,
Belgium,Male,25000,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,55000,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,25000,Employed full-time
Belgium,Male,45000,Employed full-time
Belgium,Male,125000,
Belgium,Female,165000,Employed full-time
Belgium,Male,75000,Employed full-time
Belgium,Male,65000,Employed full-time
Belgium,Male,,Employed full-time
Belgium,Male,55000,Employed full-time
Belgium,Male,65000,Freelance / Contractor
Belgium,Male,45000,Freelance / Contractor
Belgium,Male,95000,Employed full-time
Belgium,Male,25000,Employed full-time
Belgium,Male,15000,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,15000,Prefer not to disclose
Belgium,Male,35000,Employed full-time
Belgium,Male,25000,Self-employed
Belgium,Male,,I'm a student
Belgium,Male,45000,Employed full-time
Belgium,Male,5000,Freelance / Contractor
Belgium,Male,65000,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,,I'm a student
Belgium,Male,115000,Employed full-time
Belgium,Male,75000,Freelance / Contractor
Belgium,Male,25000,Employed full-time
Belgium,Male,25000,Employed full-time
Belgium,Male,,
Belgium,Male,,I'm a student
Belgium,Male,,Employed full-time
Belgium,Male,5000,I'm a student
Belgium,Male,5000,I'm a student
Belgium,Male,15000,Employed full-time
Belgium,Male,105000,Freelance / Contractor
Belgium,Male,,
Belgium,Male,65000,Employed full-time
Belgium,Male,,
Belgium,Male,25000,Employed full-time
Belgium,Male,25000,Employed full-time
Belgium,Male,25000,Employed full-time
Belgium,Male,,
Belgium,Male,65000,Employed full-time
Belgium,Male,,
Belgium,Male,145000,Self-employed
Belgium,Male,,Self-employed
Belgium,Male,,I'm a student
Belgium,Female,45000,Employed full-time
Belgium,Male,45000,Employed full-time
Belgium,Male,65000,Employed full-time
Belgium,Male,45000,Self-employed
Belgium,Male,125000,Freelance / Contractor
Belgium,Male,,I'm a student
Belgium,Male,,Employed full-time
Belgium,Female,,
Belgium,Male,35000,Employed full-time
Belgium,Male,55000,Freelance / Contractor
Belgium,Male,25000,Employed part-time
Belgium,Male,,
Belgium,Male,25000,Employed full-time
Belgium,Male,,Employed full-time
Belgium,Male,25000,Freelance / Contractor
Belgium,Male,25000,Employed full-time
Belgium,Male,35000,Employed full-time
Belgium,Male,35000,Employed full-time
Belgium,Male,45000,Employed full-time
Belgium,Male,,I'm a student
Belgium,Male,75000,Other (please specify)
Belgium,Male,,Freelance / Contractor
Belgium,Male,,I'm a student
Belgium,Male,35000,Employed full-time
Belgium,Male,,Employed full-time
Belgium,Male,35000,Employed full-time
Belgium,Male,,Employed full-time
Belgium,Male,,
Belgium,Female,,I'm a student
Belgium,Male,75000,Employed full-time
Belize,Male,125000,Employed full-time
Bolivia,Male,5000,Employed part-time
Bolivia,Male,,
Bosnia Herzegovina,Male,,I'm a student
Bosnia Herzegovina,Male,,
Bosnia Herzegovina,Male,5000,Employed full-time
Bosnia Herzegovina,Male,,I'm a student
Bosnia Herzegovina,Male,5000,I'm a student
Bosnia Herzegovina,Male,35000,Freelance / Contractor
Bosnia Herzegovina,Male,5000,I'm a student
Bosnia Herzegovina,Male,5000,I'm a student
Bosnia Herzegovina,Male,,
Bosnia Herzegovina,Male,,
Bosnia Herzegovina,Female,,I'm a student
Bosnia Herzegovina,Male,,
Bosnia Herzegovina,Male,5000,Self-employed
Botswana,Male,15000,Freelance / Contractor
Brazil,Male,5000,Employed full-time
Brazil,Male,65000,Freelance / Contractor
Brazil,Male,15000,Employed part-time
Brazil,Male,105000,Self-employed
Brazil,Male,,I'm a student
Brazil,Male,35000,Employed full-time
Brazil,Male,25000,Employed part-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Female,15000,Freelance / Contractor
Brazil,Male,35000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,,
Brazil,Male,5000,I'm a student
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed part-time
Brazil,Male,35000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,,I'm a student
Brazil,Male,5000,Employed full-time
Brazil,Male,45000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Self-employed
Brazil,Male,,
Brazil,Male,75000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,35000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,35000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,,
Brazil,Male,65000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,,
Brazil,Male,45000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,45000,Freelance / Contractor
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Self-employed
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Female,5000,Employed part-time
Brazil,Male,45000,Employed full-time
Brazil,Male,15000,Self-employed
Brazil,,,Employed full-time
Brazil,Male,,
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,25000,Employed full-time
Brazil,Male,45000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,35000,Employed part-time
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,35000,Freelance / Contractor
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,35000,Employed full-time
Brazil,Male,15000,Self-employed
Brazil,Male,,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,,
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,95000,
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,I'm a student
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,,Prefer not to disclose
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,35000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,35000,Employed full-time
Brazil,Male,5000,Unemployed
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,35000,Employed full-time
Brazil,Male,,Employed part-time
Brazil,Male,,
Brazil,Male,55000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,I'm a student
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed part-time
Brazil,Male,,
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Female,15000,Employed full-time
Brazil,Male,,
Brazil,Male,45000,Freelance / Contractor
Brazil,Male,25000,Freelance / Contractor
Brazil,Male,5000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,5000,Unemployed
Brazil,Male,,
Brazil,Male,5000,Other (please specify)
Brazil,Male,65000,Employed full-time
Brazil,Female,15000,Employed full-time
Brazil,Male,15000,I'm a student
Brazil,Male,15000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,,Employed part-time
Brazil,Male,15000,Employed full-time
Brazil,Male,75000,Other (please specify)
Brazil,Male,5000,Employed full-time
Brazil,Male,,Freelance / Contractor
Brazil,Male,65000,Freelance / Contractor
Brazil,Male,5000,Employed full-time
Brazil,Male,,
Brazil,Male,,
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Female,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Unemployed
Brazil,Male,15000,Employed full-time
Brazil,Male,55000,Freelance / Contractor
Brazil,Male,15000,Self-employed
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,I'm a student
Brazil,Male,,I'm a student
Brazil,Male,25000,I'm a student
Brazil,Male,5000,Employed full-time
Brazil,Male,,
Brazil,Male,25000,Employed full-time
Brazil,Female,,
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,65000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,35000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,I'm a student
Brazil,Male,5000,I'm a student
Brazil,Male,35000,Employed full-time
Brazil,Male,15000,Self-employed
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Prefer not to disclose
Brazil,Male,155000,Unemployed
Brazil,Male,35000,Employed full-time
Brazil,Male,45000,Employed full-time
Brazil,Male,5000,I'm a student
Brazil,Male,15000,Employed full-time
Brazil,Male,55000,Self-employed
Brazil,Male,15000,I'm a student
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,35000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,35000,Self-employed
Brazil,Male,135000,Other (please specify)
Brazil,Male,25000,Employed full-time
Brazil,Other,25000,Employed full-time
Brazil,Male,35000,Employed full-time
Brazil,Male,,Employed full-time
Brazil,Male,45000,Employed full-time
Brazil,Male,5000,I'm a student
Brazil,Male,15000,Employed full-time
Brazil,Male,,
Brazil,Male,35000,Unemployed
Brazil,Male,25000,Employed full-time
Brazil,Male,135000,Employed full-time
Brazil,Male,15000,Freelance / Contractor
Brazil,Male,,
Brazil,Male,5000,Employed full-time
Brazil,Male,55000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,115000,Employed full-time
Brazil,Male,5000,Freelance / Contractor
Brazil,Male,15000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,15000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,,I'm a student
Brazil,Male,25000,Freelance / Contractor
Brazil,Male,25000,Employed full-time
Brazil,Male,5000,Employed full-time
Brazil,Male,25000,Employed full-time
Brazil,Male,15000,Employed full-time
Bulgaria,Male,195000,Employed full-time
Bulgaria,Male,,
Bulgaria,Male,15000,Employed full-time
Bulgaria,Male,45000,Other (please specify)
Bulgaria,Male,5000,I'm a student
Bulgaria,Male,35000,Freelance / Contractor
Bulgaria,Male,,Employed full-time
Bulgaria,Male,15000,Employed full-time
Bulgaria,Male,,Employed full-time
Bulgaria,Male,5000,Employed full-time
Bulgaria,Male,85000,Employed full-time
Bulgaria,Male,,Freelance / Contractor
Bulgaria,Male,,I'm a student
Bulgaria,Male,15000,Employed full-time
Bulgaria,Male,15000,Employed full-time
Bulgaria,Male,5000,I'm a student
Bulgaria,Male,25000,Employed full-time
Bulgaria,Male,,I'm a student
Bulgaria,Male,15000,Prefer not to disclose
