Country,Gender,Compensation: midpoint,Employment Status
Spain,Male,10000,Employed full-time
United Arab Emirates,Male,30000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United States,Prefer not to disclose,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,150000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,170000,Employed full-time
Uruguay,Male,30000,Employed full-time
Belgium,Male,,Employed full-time
Canada,Male,,
Croatia,Male,170000,Employed full-time
Portugal,Male,10000,Employed full-time
Singapore,Female,50000,Employed full-time
Turkey,Male,30000,Employed full-time
United Kingdom,Male,Rather not say,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,170000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,110000,Employed full-time
N/A,Male,10000,Employed part-time
Argentina,Male,30000,Freelance / Contractor
Australia,Male,30000,Freelance / Contractor
Australia,Male,130000,Employed full-time
Australia,Male,90000,Employed full-time
Austria,Male,50000,Employed part-time
Canada,Male,50000,Employed full-time
Canada,Male,50000,Employed full-time
Croatia,Male,10000,Employed part-time
Germany,Male,Rather not say,Other
Germany,Male,30000,Employed full-time
Hungary,Male,Rather not say,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed part-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
Italy,Male,30000,Employed full-time
Italy,Male,10000,Freelance / Contractor
Mexico,Other,Rather not say,Employed part-time
Peru,Male,Rather not say,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,,Employed part-time
Poland,Male,10000,Employed full-time
Poland,Male,30000,Employed part-time
Russian Federation,Male,10000,Employed full-time
Russian Federation,Male,50000,Employed full-time
Switzerland,Male,10000,Employed part-time
Turkey,Male,10000,Employed part-time
United Kingdom,Female,30000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,50000,Employed full-time
United States,Female,70000,Employed full-time
United States,Male,30000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,Rather not say,Freelance / Contractor
N/A,Male,70000,Employed full-time
China,Male,Rather not say,Employed full-time
Australia,Male,170000,Freelance / Contractor
Australia,Male,90000,Employed full-time
Australia,Male,Rather not say,Employed full-time
Austria,Male,Rather not say,Employed full-time
Belarus,Male,10000,Employed full-time
Belarus,Male,10000,Employed full-time
Belgium,Male,,Employed full-time
Belgium,Male,10000,Employed full-time
Brazil,Male,10000,Employed full-time
Brazil,Male,50000,Employed full-time
Bulgaria,Male,10000,Employed full-time
Bulgaria,Female,30000,Employed part-time
Canada,Male,90000,Employed full-time
Canada,Male,,Employed full-time
Canada,Male,70000,Employed full-time
Canada,Male,50000,Employed full-time
Colombia,Male,170000,Freelance / Contractor
Denmark,Male,110000,Employed full-time
France,Male,50000,Employed full-time
France,Male,50000,Employed full-time
France,Male,50000,Employed full-time
France,Male,50000,Employed full-time
France,Male,70000,Employed full-time
France,Male,30000,Employed full-time
Georgia,Male,10000,Freelance / Contractor
Germany,Male,90000,Employed full-time
Germany,Male,30000,Employed full-time
Germany,Male,Rather not say,Freelance / Contractor
Germany,Male,90000,Employed full-time
Germany,Male,Rather not say,Employed full-time
Greece,Male,10000,Employed full-time
Guatemala,Male,30000,Employed full-time
Hungary,Male,,Employed full-time
Iceland,Male,70000,Employed full-time
India,Male,10000,Employed full-time
India,Male,,Employed full-time
India,Male,70000,Employed full-time
India,Male,30000,Freelance / Contractor
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,30000,Employed full-time
India,Male,50000,Employed full-time
Iran,Male,10000,Employed full-time
Iran,Male,10000,Employed part-time
Iran,Male,10000,Employed full-time
Ireland {Republic},Male,110000,Employed full-time
Ireland {Republic},Male,Rather not say,Employed full-time
Ireland {Republic},Male,30000,Employed part-time
Israel,Male,70000,Employed full-time
Israel,Male,30000,Employed part-time
Italy,Male,70000,Employed full-time
Lithuania,Male,,Employed full-time
Malaysia,Male,30000,Employed full-time
Malaysia,Male,30000,Freelance / Contractor
Netherlands,Male,110000,Employed full-time
Netherlands,Male,50000,Employed full-time
Netherlands,Male,50000,Employed full-time
Netherlands,Prefer not to disclose,50000,Employed full-time
New Zealand,Male,90000,Employed full-time
Nigeria,Male,10000,Employed full-time
Norway,Male,90000,Employed full-time
Norway,Male,90000,Employed full-time
Other,Male,,Employed full-time
Pakistan,Male,,Employed full-time
Pakistan,Male,,Employed full-time
Poland,Male,30000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,30000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,30000,Employed full-time
Romania,Male,30000,Employed full-time
Romania,Male,10000,Employed full-time
Romania,Male,Rather not say,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Female,10000,Employed full-time
Russian Federation,Male,,Employed full-time
Russian Federation,Male,10000,Employed full-time
Saudi Arabia,Male,30000,Employed full-time
Serbia,Male,30000,Employed full-time
Slovakia,Male,30000,Employed full-time
South Africa,Male,50000,Employed full-time
South Africa,Male,30000,Employed full-time
South Africa,Male,30000,Employed full-time
Spain,Male,30000,Employed full-time
Spain,Male,,Employed full-time
Spain,Male,30000,Employed full-time
Spain,Male,70000,Employed full-time
Sweden,Male,50000,Employed full-time
Sweden,Male,Rather not say,Employed full-time
Sweden,Male,50000,Employed full-time
Switzerland,Male,Rather not say,Employed full-time
Turkey,Male,30000,Employed full-time
Turkey,Male,30000,Employed full-time
Turkey,Male,30000,Employed full-time
Turkey,Male,30000,Employed full-time
Turkey,Male,,Employed full-time
Ukraine,Other,30000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,110000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,150000,Freelance / Contractor
United Kingdom,Male,70000,Freelance / Contractor
United Kingdom,Male,110000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,170000,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,70000,Employed full-time
United States,Female,110000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,Rather not say,Freelance / Contractor
United States,Female,50000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,,Employed full-time
Uruguay,Male,10000,Employed part-time
Belgium,Male,Rather not say,Employed part-time
Finland,Male,Rather not say,Freelance / Contractor
Germany,Male,90000,Freelance / Contractor
Ireland {Republic},Male,50000,Employed full-time
United Kingdom,Male,90000,Freelance / Contractor
United Kingdom,Male,,Employed full-time
United Kingdom,Female,Rather not say,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,110000,Employed full-time
Bulgaria,Male,30000,Employed full-time
China,Male,10000,Employed full-time
Finland,Male,50000,Employed full-time
Georgia,Male,,Employed full-time
India,Male,30000,Employed full-time
Ireland {Republic},Male,90000,Employed full-time
Ireland {Republic},Male,30000,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,,30000,Employed full-time
Russian Federation,Male,10000,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,10000,Employed full-time
Russian Federation,Male,30000,Employed full-time
South Africa,Male,70000,Employed full-time
Spain,Male,30000,Employed full-time
Turkey,Male,10000,Other
United Kingdom,Male,110000,Employed full-time
United Kingdom,Male,Rather not say,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Female,110000,Employed full-time
United States,Male,Rather not say,Employed full-time
Australia,Male,130000,Freelance / Contractor
Austria,Female,70000,Employed full-time
Austria,Male,50000,Employed full-time
Austria,Male,50000,Employed full-time
Brazil,Male,10000,Employed full-time
Brazil,Male,30000,Employed full-time
Canada,Male,30000,Employed part-time
Canada,Male,70000,Employed full-time
Canada,Male,70000,Employed full-time
Ecuador,Male,10000,Employed full-time
Estonia,Male,,Employed full-time
Georgia,Male,10000,Employed full-time
Germany,Male,30000,Other
Germany,Male,Rather not say,Employed full-time
Germany,Male,150000,Freelance / Contractor
Greece,Male,50000,Employed full-time
Greece,Male,10000,Employed full-time
Hungary,Male,10000,Employed full-time
Italy,Male,50000,Employed full-time
Mexico,Male,10000,Employed full-time
Paraguay,Male,30000,Employed full-time
Poland,Male,30000,Employed full-time
Russian Federation,Male,50000,Employed full-time
Russian Federation,Male,10000,Employed full-time
Slovenia,Male,30000,Employed full-time
Spain,Male,30000,Employed part-time
Sweden,Male,50000,Employed full-time
Sweden,Male,110000,Employed full-time
Sweden,Male,50000,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,30000,Employed part-time
United Kingdom,Male,50000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,Rather not say,Freelance / Contractor
United States,Male,110000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,,Employed full-time
United States,Female,90000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,90000,Employed full-time
Venezuela,Male,10000,Freelance / Contractor
N/A,Male,90000,Employed full-time
Argentina,Male,10000,Employed full-time
Argentina,Male,10000,Employed full-time
Australia,Male,,Employed full-time
Austria,Male,70000,Employed full-time
Brazil,Male,10000,Employed full-time
Canada,Male,50000,Employed full-time
Canada,Male,50000,Employed full-time
Canada,Male,50000,Employed full-time
Canada,Male,130000,Freelance / Contractor
China,Male,30000,Employed part-time
Colombia,Male,50000,Employed full-time
Czech Republic,Male,10000,Employed full-time
France,Male,70000,Employed full-time
Germany,Male,30000,Employed full-time
Germany,Male,Rather not say,Employed full-time
Hungary,Male,,Employed full-time
India,Male,10000,Employed full-time
India,Male,Rather not say,Employed part-time
India,Male,10000,Employed full-time
India,Male,,Employed full-time
India,Male,10000,Employed full-time
India,Male,Unemployed,Other
Indonesia,Male,10000,Freelance / Contractor
Ireland {Republic},Male,30000,Employed full-time
Italy,Male,50000,Other
Italy,Male,70000,Freelance / Contractor
Kenya,Male,10000,Freelance / Contractor
Netherlands,Male,,Employed full-time
Netherlands,Male,Rather not say,Employed full-time
Philippines,Male,10000,Freelance / Contractor
Poland,Male,10000,Employed part-time
Poland,Male,10000,Employed full-time
Poland,Male,30000,Freelance / Contractor
Saudi Arabia,Male,30000,Employed full-time
South Africa,Male,50000,Employed full-time
Spain,Male,30000,Employed full-time
Turkey,Male,10000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,70000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,150000,Employed full-time
United States,Male,90000,Employed full-time
United States,Female,150000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,50000,Employed full-time
United States,Female,50000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,50000,Employed part-time
Germany,Male,10000,Employed full-time
Iran,Male,Unemployed,Employed full-time
Netherlands,Male,10000,Employed part-time
Netherlands,Male,,Other
Slovakia,Male,10000,Freelance / Contractor
N/A,Male,10000,Freelance / Contractor
N/A,Male,,Freelance / Contractor
N/A,Male,50000,Employed full-time
Argentina,Male,10000,Employed full-time
Australia,Female,90000,Employed full-time
Australia,Male,Rather not say,Freelance / Contractor
Australia,Male,90000,Employed full-time
Austria,Male,,Freelance / Contractor
Austria,Male,50000,Employed part-time
Austria,Male,30000,Freelance / Contractor
Austria,Male,50000,Employed full-time
Bangladesh,Male,,Freelance / Contractor
Belgium,Female,Rather not say,Employed full-time
Brazil,Male,30000,Employed full-time
Brazil,Male,10000,Employed full-time
Brazil,Male,30000,Employed full-time
Bulgaria,Male,30000,Employed full-time
Bulgaria,Male,Rather not say,Employed full-time
Canada,Male,,Freelance / Contractor
Canada,Male,,Employed full-time
Canada,Male,110000,Employed full-time
Canada,Male,30000,Freelance / Contractor
Canada,Male,Rather not say,Employed full-time
Canada,Male,30000,Employed full-time
Canada,Male,90000,Employed full-time
China,Male,30000,Employed full-time
China,Male,30000,Employed full-time
China,Male,30000,Employed full-time
China,Female,10000,Employed full-time
China,Male,,Employed full-time
China,Female,30000,Employed full-time
China,Male,10000,Employed full-time
China,Male,30000,Employed full-time
China,Male,30000,Employed full-time
Croatia,Male,Rather not say,Employed full-time
Czech Republic,Male,10000,Employed part-time
Czech Republic,Male,10000,Employed full-time
Denmark,Male,50000,Employed full-time
Denmark,Male,90000,Employed full-time
Dominican Republic,Male,30000,Freelance / Contractor
Egypt,Female,30000,Employed full-time
Estonia,Male,Rather not say,Employed full-time
France,Male,30000,Employed full-time
France,Male,30000,Employed full-time
France,Male,30000,Employed full-time
France,Male,,Employed full-time
France,Male,70000,Employed full-time
France,Male,30000,Employed full-time
France,Male,30000,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,30000,Employed full-time
Germany,Male,Rather not say,Employed full-time
Germany,Male,110000,Employed full-time
Germany,Male,10000,Employed full-time
Germany,Female,,Employed part-time
Germany,Male,50000,Employed full-time
Germany,Male,Rather not say,Employed full-time
Germany,Male,,Employed full-time
Germany,Male,Rather not say,Employed full-time
Germany,Male,,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,150000,Employed full-time
Germany,Prefer not to disclose,,Employed full-time
Germany,Female,,Employed full-time
Germany,Male,30000,Employed full-time
Germany,Male,70000,Employed part-time
Germany,Male,Rather not say,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,90000,Employed full-time
Greece,Male,10000,Employed full-time
Hungary,Male,Rather not say,Employed full-time
Hungary,Male,Rather not say,Employed full-time
India,Male,10000,Employed full-time
India,Male,30000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed part-time
India,Male,50000,Employed full-time
India,,Rather not say,Employed full-time
Iran,Male,10000,Employed full-time
Israel,Male,70000,Employed full-time
Italy,Male,70000,Freelance / Contractor
Italy,Male,50000,Employed part-time
Jamaica,Male,10000,Freelance / Contractor
Japan,Male,50000,Employed full-time
Kazakhstan,Male,30000,Freelance / Contractor
Lithuania,Male,10000,Employed full-time
Lithuania,Male,10000,Employed part-time
Mexico,Male,10000,Employed full-time
Mexico,Male,30000,Freelance / Contractor
Netherlands,Male,10000,Employed part-time
Netherlands,Male,30000,Employed full-time
Netherlands,Male,30000,Freelance / Contractor
Netherlands,Male,90000,Employed full-time
Netherlands,Male,,Employed full-time
Netherlands,Male,50000,Employed full-time
Netherlands,Male,30000,Employed part-time
Netherlands,Male,70000,Employed full-time
Netherlands,Male,90000,Freelance / Contractor
Netherlands,Male,Rather not say,Employed full-time
Netherlands,Male,90000,Employed full-time
Netherlands,Male,Rather not say,Freelance / Contractor
Netherlands,Male,Rather not say,Other
New Zealand,Male,110000,Employed full-time
Pakistan,Male,10000,Other
Poland,Male,Rather not say,Employed part-time
Poland,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,,Employed full-time
Portugal,Male,10000,Employed full-time
Portugal,Male,30000,Employed full-time
Portugal,Male,Unemployed,Employed part-time
Romania,Male,50000,Employed full-time
Romania,Male,Rather not say,Employed full-time
Russian Federation,Female,Rather not say,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,Rather not say,Employed full-time
Russian Federation,Male,Rather not say,Employed full-time
Russian Federation,Male,30000,Employed full-time
Russian Federation,Male,10000,Employed full-time
Serbia,Male,,Employed full-time
Spain,Male,50000,Employed full-time
Spain,Male,10000,Employed full-time
Spain,Male,10000,Employed part-time
Spain,Male,30000,Employed full-time
Sri Lanka,Male,Rather not say,Freelance / Contractor
Sweden,Male,70000,Employed full-time
Sweden,Male,70000,Employed full-time
Switzerland,Male,170000,Employed full-time
Switzerland,Female,10000,Other
Switzerland,Male,90000,Employed part-time
Switzerland,Male,70000,Employed part-time
Switzerland,Male,70000,Employed full-time
Switzerland,Male,170000,Employed full-time
Syria,Male,30000,Employed full-time
Taiwan,Male,30000,Employed full-time
Turkey,Male,10000,Employed full-time
Turkey,Male,Rather not say,Employed full-time
Turkey,Male,30000,Employed full-time
Turkey,Male,10000,Employed part-time
Turkey,Male,10000,Employed full-time
Turkey,Male,50000,Employed full-time
Turkey,Male,30000,Employed full-time
Ukraine,Male,50000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,,Employed full-time
United Kingdom,Male,Rather not say,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,50000,Freelance / Contractor
United Kingdom,Female,,Employed full-time
United Kingdom,Male,30000,Employed full-time
United Kingdom,Male,170000,Freelance / Contractor
United Kingdom,Male,150000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United Kingdom,Male,Rather not say,Employed full-time
United Kingdom,Male,,Employed full-time
United Kingdom,Male,90000,Employed full-time
United Kingdom,Male,50000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,150000,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,150000,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,170000,Employed full-time
United States,Female,Rather not say,Employed full-time
United States,Male,130000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,150000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,50000,Employed full-time
United States,Prefer not to disclose,Rather not say,Employed full-time
United States,Male,110000,Employed full-time
United States,Male,,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Female,50000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,10000,Employed part-time
United States,Male,110000,Employed full-time
United States,Male,130000,Employed full-time
United States,Female,170000,Employed full-time
United States,Male,150000,Employed full-time
United States,Male,30000,Employed part-time
United States,Male,90000,Employed full-time
United States,Male,,Freelance / Contractor
Australia,Male,50000,Employed full-time
Canada,Male,70000,Employed full-time
Germany,Male,50000,Employed full-time
India,Male,10000,Employed full-time
India,Female,30000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Female,10000,Employed full-time
Indonesia,Male,10000,Employed full-time
Indonesia,Male,Rather not say,Employed full-time
Indonesia,Male,10000,Employed full-time
Ireland {Republic},Male,130000,Freelance / Contractor
Russian Federation,Male,10000,Employed full-time
Russian Federation,Male,Rather not say,Freelance / Contractor
Sri Lanka,Male,50000,Employed full-time
Sweden,Male,50000,Employed full-time
Sweden,Male,130000,Employed full-time
Switzerland,Male,10000,Employed full-time
United Kingdom,Male,30000,Employed full-time
United States,Male,50000,Employed full-time
United States,Male,70000,Employed full-time
United States,Male,,Employed full-time
United States,Male,90000,Employed full-time
United States,Male,Rather not say,Employed full-time
United States,Male,170000,Employed full-time
N/A,Male,30000,Employed full-time
Australia,Male,50000,Employed full-time
Austria,Male,Rather not say,Employed part-time
Brazil,Male,,Employed full-time
Brazil,Male,30000,Employed full-time
Canada,Male,Rather not say,Employed full-time
Canada,Male,70000,Employed full-time
Canada,Male,70000,Employed full-time
China,Male,70000,Employed full-time
China,Female,50000,Employed full-time
Cyprus,Male,30000,Employed full-time
Czech Republic,Male,10000,Employed full-time
Czech Republic,Male,10000,Employed part-time
Denmark,Male,70000,Employed full-time
Denmark,Male,130000,Employed full-time
Denmark,Male,Rather not say,Employed full-time
Denmark,Male,70000,Employed full-time
Finland,Male,,Other
France,Male,50000,Employed full-time
France,Male,70000,Employed full-time
France,Male,150000,Freelance / Contractor
France,Prefer not to disclose,Rather not say,Employed full-time
France,Male,30000,Employed full-time
France,Male,70000,Employed full-time
Germany,Male,Unemployed,Other
Germany,Male,70000,Employed full-time
Germany,Male,Rather not say,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,50000,Employed full-time
Germany,Male,70000,Employed full-time
Germany,Male,,Employed full-time
Guatemala,Male,70000,Employed full-time
Hungary,Male,50000,Freelance / Contractor
India,Male,30000,Employed full-time
India,Male,Rather not say,Employed full-time
India,Male,10000,Employed part-time
India,Male,,Employed full-time
India,Male,10000,Employed full-time
India,Male,10000,Employed full-time
Israel,Male,110000,Employed full-time
Italy,Male,30000,Employed full-time
Jamaica,Prefer not to disclose,,Freelance / Contractor
Kenya,Male,Rather not say,Employed full-time
Korea South,Male,30000,Employed full-time
Lithuania,Male,30000,Employed full-time
Malaysia,Female,Rather not say,Employed full-time
Malaysia,Male,Rather not say,Employed full-time
Mexico,Male,10000,Employed part-time
Moldova,Male,10000,Employed full-time
Netherlands,Male,50000,Employed full-time
Netherlands,Female,50000,Employed full-time
Netherlands,Male,50000,Employed full-time
Netherlands,Male,,Employed full-time
Netherlands,Male,70000,Employed full-time
Poland,Male,30000,Freelance / Contractor
Poland,Male,10000,Employed full-time
Poland,Male,50000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,10000,Employed full-time
Poland,Male,30000,Employed full-time
Portugal,Male,30000,Employed full-time
