Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
India,25-29,1,Desktop Software Developer,Rather not say,Consulting,Full-time Remote,It's not my preference. I'd prefer to be in an office,A coffee shop,86
United States,30-34,1,Student,,Student,Occasionally,I'm neutral about it,A home office,42
Ireland,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Other,Occasionally,I love it,My couch,41
Japan,,,,,,,,,0
United States,51-60,1,Other,Student / Unemployed,Not Currently Employed,Never,,,45
United States,25-29,1,Student,,,,,,0
United States,>60,NA,Other,Student / Unemployed,,,,,0
Germany,25-29,1,Student,,Student,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
United States,,,,,,,,,0
United States,< 20,1,Student,Student / Unemployed,Not Currently Employed,Never,,,0
United States,35-39,0,Back-End Web Developer,"$60,000 - $80,000",Advertising,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,47
United States,25-29,1,Student,Student / Unemployed,Student,Never,,,30
Finland,40-50,1,IT Staff / System Administrator,"$60,000 - $80,000",Consulting,Occasionally,I'm neutral about it,My couch,8
Lithuania,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,34
Italy,25-29,1,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,A home office,51
Israel,>60,1,Desktop Software Developer,"$80,000 - $100,000",Healthcare,Occasionally,I'm neutral about it,A home office,54
India,25-29,0,DevOps,"<$20,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",My couch,35
Canada,40-50,1,Manager of Developers or Team Leader,">$140,000",Software Products,Occasionally,I'm neutral about it,A home office,35
Germany,< 20,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
United Kingdom,20-24,1,Full-Stack Web Developer,Rather not say,Web Services,Occasionally,I love it,A home office,81
Russia,25-29,1,IT Staff / System Administrator,,Foundation / Non-Profit,Never,,,87
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Education,Never,,,48
Ireland,25-29,1,Student,Rather not say,Other,Occasionally,I'm neutral about it,A coffee shop,36
India,< 20,1,Student,Student / Unemployed,Student,Never,,,39
France,40-50,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,35
Finland,35-39,1,Mobile Application Developer,Student / Unemployed,Web Services,Never,,,0
India,20-24,1,DevOps,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,49
New Zealand,,,,,,,,,0
India,,,,,,,,,0
India,20-24,1,Desktop Software Developer,Rather not say,,,,,0
New Zealand,30-34,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Software Products,Full-time Remote,I love it,A home office,31
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Full-time Remote,I'm neutral about it,A home office,67
Ecuador,25-29,1,Other,Rather not say,Other,Occasionally,I love it,My couch,0
United States,40-50,1,Full-Stack Web Developer,">$140,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,46
United States,40-50,1,Enterprise Level Services,Rather not say,Finance / Banking,Occasionally,I'm neutral about it,A home office,24
United States,20-24,1,Other,Rather not say,,,,,0
Canada,20-24,1,I don't work in tech,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
United States,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,57
United States,51-60,1,Other,"$60,000 - $80,000",Manufacturing,Occasionally,I'm neutral about it,A home office,36
Spain,35-39,1,Desktop Software Developer,"$40,000 - $60,000",Retail,Never,,,52
Canada,20-24,1,Embedded Application Developer,Rather not say,Software Products,Never,,,34
United States,30-34,1,Desktop Software Developer,"$60,000 - $80,000",Manufacturing,Occasionally,I love it,A home office,38
United States,20-24,1,Back-End Web Developer,Rather not say,Consulting,Part-time Remote,It's not my preference. I'd prefer to be in an office,My couch,40
Vietnam,>60,0,Other,">$140,000",Consulting,Never,,,0
United Kingdom,20-24,1,Desktop Software Developer,"<$20,000",Gaming,Occasionally,I'm neutral about it,A home office,76
Germany,30-34,1,Back-End Web Developer,Rather not say,Software Products,Never,,,56
Chile,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,A home office,46
France,20-24,1,Front-End Web Developer,"$20,000 - $40,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,76
India,20-24,1,Front-End Web Developer,Rather not say,Software Products,Occasionally,I love it,My couch,59
United States,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Manufacturing,Never,,,22
France,20-24,1,Mobile Application Developer,"<$20,000",Web Services,Never,,,39
United States,51-60,1,Embedded Application Developer,"$120,000 - $140,000",Finance / Banking,Never,,,42
Germany,25-29,1,Back-End Web Developer,"$60,000 - $80,000",Web Services,Never,,,34
United States,40-50,1,Desktop Software Developer,"$80,000 - $100,000",Government,Occasionally,"I like it, though I like visiting the office occasionally",A home office,40
United States,< 20,1,Other,,Not Currently Employed,Never,,,0
Ukraine,< 20,1,Desktop Software Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,39
Ukraine,25-29,1,Front-End Web Developer,Rather not say,Consulting,Full-time Remote,I hate it,A co-working space,21
India,35-39,1,Back-End Web Developer,Rather not say,Software Products,Never,,,59
Italy,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
Finland,35-39,1,IT Staff / System Administrator,"$60,000 - $80,000",Consulting,Never,,,57
France,25-29,1,IT Staff / System Administrator,"$40,000 - $60,000",Advertising,Occasionally,I'm neutral about it,My couch,0
United States,< 20,1,Student,Student / Unemployed,Not Currently Employed,Never,,,0
United Kingdom,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Retail,Never,,,14
United Kingdom,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Other,Occasionally,I'm neutral about it,My couch,33
China,40-50,1,Other,"$60,000 - $80,000",Education,Part-time Remote,I'm neutral about it,A home office,72
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Never,,,72
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Government,Never,,,52
India,20-24,1,Other,Rather not say,Manufacturing,Full-time Remote,I love it,A home office,71
India,25-29,1,Full-Stack Web Developer,"<$20,000",Consulting,Occasionally,I'm neutral about it,A home office,57
United Kingdom,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Never,,,48
United Kingdom,35-39,1,Full-Stack Web Developer,"$120,000 - $140,000",Consulting,Never,,,42
Netherlands,20-24,1,Student,Student / Unemployed,Other,Never,,,13
Turkey,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Part-time Remote,I'm neutral about it,A home office,72
Ukraine,< 20,1,Mobile Application Developer,Student / Unemployed,Not Currently Employed,Occasionally,"I like it, though I like visiting the office occasionally",A home office,54
United States,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I'm neutral about it,A home office,0
United States,20-24,1,Enterprise Level Services,"$40,000 - $60,000",Healthcare,Never,,,34
Portugal,,,,,,,,,0
Egypt,20-24,1,Student,"<$20,000",Software Products,Never,,,79
Brazil,< 20,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,41
Germany,30-34,1,Embedded Application Developer,"$60,000 - $80,000",Retail,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,43
Belgium,40-50,1,Front-End Web Developer,Rather not say,Finance / Banking,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,53
Italy,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Cambodia,>60,1,Other,Student / Unemployed,Other,Occasionally,I'm neutral about it,Other,0
Brazil,20-24,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,43
Mexico,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Never,,,37
Germany,,,,,,,,,0
Puerto Rico,30-34,1,Front-End Web Developer,"$20,000 - $40,000",Advertising,Never,,,0
Canada,35-39,0,Desktop Software Developer,"$40,000 - $60,000",Other,Never,,,47
Germany,30-34,1,Back-End Web Developer,Rather not say,Web Services,Never,,,51
Switzerland,25-29,0,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A coffee shop,0
United Kingdom,20-24,1,Full-Stack Web Developer,Student / Unemployed,Gaming,Occasionally,It's not my preference. I'd prefer to be in an office,A coffee shop,62
Croatia,< 20,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,I hate it,A home office,51
Netherlands,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,41
France,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Occasionally,I love it,My couch,39
United Kingdom,40-50,1,DevOps,">$140,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,28
Romania,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,80
India,25-29,1,Desktop Software Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,A home office,44
United Kingdom,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Finance / Banking,Never,,,40
Netherlands,< 20,1,Student,Student / Unemployed,Student,Never,,,24
India,25-29,1,Embedded Application Developer,"<$20,000",Software Products,Never,,,30
Jordan,30-34,1,Back-End Web Developer,"<$20,000",,,,,0
United Kingdom,35-39,1,Other,"$80,000 - $100,000",Finance / Banking,Never,,,46
Netherlands,< 20,1,Back-End Web Developer,,,,,,0
India,30-34,1,Full-Stack Web Developer,,,,,,0
United Kingdom,51-60,1,Full-Stack Web Developer,"$40,000 - $60,000",Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,Other,31
India,20-24,1,Database Administrator,Rather not say,Other,Never,,,0
Czech Republic,30-34,1,Enterprise Level Services,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,46
United States,25-29,NA,Full-Stack Web Developer,Rather not say,Advertising,Occasionally,I love it,A home office,31
United Kingdom,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Never,,,41
United States,25-29,1,Desktop Software Developer,"$100,000 - $120,000",Software Products,Occasionally,I'm neutral about it,A home office,0
United States,35-39,1,Front-End Web Developer,"$80,000 - $100,000",Government,Occasionally,I love it,A home office,49
United States,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Full-time Remote,I love it,A home office,43
United States,,,,,,,,,0
Chile,< 20,0,"Executive (VP of Eng, CTO, CIO, etc.)",,Healthcare,Part-time Remote,I hate it,A co-working space,0
United Kingdom,30-34,1,Full-Stack Web Developer,Rather not say,Consulting,Never,,,72
Netherlands,40-50,1,Full-Stack Web Developer,"$80,000 - $100,000",Finance / Banking,Occasionally,I'm neutral about it,A home office,51
India,,,,,,,,,0
India,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I love it,A home office,87
Germany,25-29,1,Mobile Application Developer,"$80,000 - $100,000",Education,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
Philippines,,,,,,,,,0
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,0
United Kingdom,25-29,1,Back-End Web Developer,Rather not say,Web Services,Never,,,32
United States,51-60,1,Desktop Software Developer,"$60,000 - $80,000",Consulting,Never,,,67
Austria,20-24,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
United States,< 20,1,Full-Stack Web Developer,Student / Unemployed,Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,45
France,40-50,1,Other,Rather not say,Education,Never,,,52
United States,20-24,0,Student,Student / Unemployed,Student,Never,,,5
United States,< 20,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,My couch,0
New Zealand,35-39,0,Enterprise Level Services,"$80,000 - $100,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,57
United States,20-24,1,Full-Stack Web Developer,"$100,000 - $120,000",Foundation / Non-Profit,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,54
United States,40-50,1,Other,">$140,000",Other,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,33
United Kingdom,< 20,NA,Student,Rather not say,Foundation / Non-Profit,Never,,,24
Bolivia,,,,,,,,,0
United Kingdom,20-24,1,Full-Stack Web Developer,Student / Unemployed,Web Services,Occasionally,I'm neutral about it,A home office,31
United States,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Full-time Remote,I love it,A home office,36
United States,25-29,1,Back-End Web Developer,Rather not say,Web Services,Occasionally,I'm neutral about it,A home office,0
Algeria,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",,Manufacturing,Part-time Remote,I'm neutral about it,A home office,34
Thailand,,,,,,,,,0
India,,,,,,,,,0
Ukraine,30-34,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,62
China,20-24,1,Full-Stack Web Developer,Rather not say,Manufacturing,Never,,,49
United States,35-39,0,I don't work in tech,"<$20,000",Education,Never,,,0
United States,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,53
Philippines,,,,,,,,,0
United States,>60,1,I don't work in tech,Rather not say,Not Currently Employed,Never,,,22
United States,25-29,1,Other,Student / Unemployed,Not Currently Employed,Occasionally,"I like it, though I like visiting the office occasionally",A home office,2
Romania,35-39,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Other,Never,,,5
Poland,< 20,1,Student,Student / Unemployed,Student,Occasionally,,,0
India,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Never,,,77
Tunisia,35-39,1,I don't work in tech,"<$20,000",Education,Full-time Remote,I love it,A home office,40
Israel,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I love it,My couch,18
United Kingdom,30-34,1,Enterprise Level Services,">$140,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,40
India,20-24,1,Mobile Application Developer,Rather not say,Software Products,Never,,,85
Russia,,,,,,,,,0
Argentina,20-24,0,IT Staff / System Administrator,"<$20,000",Software Products,Never,,,41
Spain,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Spain,,,,,,,,,0
United States,40-50,1,Other,"$120,000 - $140,000",Education,Occasionally,I love it,A coffee shop,22
Germany,35-39,1,Manager of Developers or Team Leader,Rather not say,Manufacturing,Never,,,12
United States,20-24,1,Desktop Software Developer,"$100,000 - $120,000",Retail,Never,,,45
Germany,25-29,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Consulting,Occasionally,I love it,My couch,72
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Other,Never,,,48
United States,40-50,0,Student,Student / Unemployed,Not Currently Employed,Occasionally,I love it,A home office,20
United States,25-29,1,Other,"$80,000 - $100,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,50
Germany,20-24,0,Student,Student / Unemployed,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,15
United Kingdom,40-50,1,Back-End Web Developer,"$60,000 - $80,000",Other,Occasionally,I love it,A home office,39
United States,30-34,1,Enterprise Level Services,"$100,000 - $120,000",Consulting,Full-time Remote,I love it,A home office,47
Netherlands,20-24,1,IT Staff / System Administrator,"$20,000 - $40,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,60
Netherlands,35-39,1,I don't work in tech,Rather not say,Other,Never,,,0
Bulgaria,25-29,1,Enterprise Level Services,,Software Products,Occasionally,I'm neutral about it,A home office,112
Norway,35-39,1,Back-End Web Developer,"$100,000 - $120,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",My couch,43
Romania,25-29,0,I don't work in tech,"<$20,000",Education,Never,,,21
Japan,25-29,1,Mobile Application Developer,,Gaming,Never,,,20
United States,20-24,1,Desktop Software Developer,Rather not say,Finance / Banking,Occasionally,I'm neutral about it,My couch,0
United States,25-29,1,Student,,,,,,0
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Consulting,Occasionally,I'm neutral about it,A home office,0
United Kingdom,51-60,1,I don't work in tech,,Education,Occasionally,I'm neutral about it,My couch,0
Spain,,,,,,,,,0
United States,40-50,0,Other,">$140,000",Finance / Banking,Occasionally,I love it,A home office,0
United States,25-29,0,Front-End Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,82
United States,40-50,0,Front-End Web Developer,"$100,000 - $120,000",Education,Occasionally,I'm neutral about it,My couch,36
United States,< 20,1,Student,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Austria,20-24,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Never,,,34
Malaysia,,,,,,,,,0
Pakistan,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Part-time Remote,I love it,My couch,71
United States,25-29,1,"Executive (VP of Eng, CTO, CIO, etc.)","<$20,000",Web Services,Part-time Remote,I love it,My couch,41
Germany,25-29,0,Desktop Software Developer,"$40,000 - $60,000",Manufacturing,Never,,,58
United States,30-34,1,Embedded Application Developer,"$60,000 - $80,000",Healthcare,Occasionally,"I like it, though I like visiting the office occasionally",A home office,56
Poland,35-39,1,IT Staff / System Administrator,"$80,000 - $100,000",,,,,0
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Occasionally,I love it,A home office,69
Philippines,30-34,1,Mobile Application Developer,Rather not say,Software Products,Never,,,0
Norway,35-39,1,Manager of Developers or Team Leader,">$140,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,44
Bulgaria,25-29,0,IT Staff / System Administrator,Rather not say,Other,Never,,,46
United States,20-24,1,Student,"$20,000 - $40,000",Student,Never,,,0
United States,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Web Services,Part-time Remote,I love it,A home office,2
United States,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Part-time Remote,I'm neutral about it,My couch,52
Australia,20-24,1,Student,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Italy,35-39,1,Other,Rather not say,Consulting,Occasionally,I love it,A home office,44
Netherlands,40-50,1,Enterprise Level Services,"$40,000 - $60,000",Other,Part-time Remote,I love it,A home office,57
Brazil,25-29,0,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,65
United Kingdom,25-29,1,Other,"$40,000 - $60,000",Finance / Banking,Never,,,23
United States,51-60,1,I don't work in tech,,Education,Occasionally,I'm neutral about it,My couch,0
Finland,35-39,NA,I don't work in tech,Student / Unemployed,Not Currently Employed,Occasionally,"I like it, though I like visiting the office occasionally",A home office,21
Greece,,,,,,,,,0
United States,30-34,1,IT Staff / System Administrator,"$40,000 - $60,000",Healthcare,Part-time Remote,"I like it, though I like visiting the office occasionally",Other,135
United States,,,,,,,,,0
Turkey,< 20,1,Student,Student / Unemployed,Student,Never,,,0
United States,20-24,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Never,,,42
United States,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Occasionally,I love it,A home office,41
United States,40-50,1,Front-End Web Developer,"$40,000 - $60,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,49
United States,20-24,1,Back-End Web Developer,"$80,000 - $100,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,38
United States,>60,1,Other,,Foundation / Non-Profit,Never,,,0
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,47
United States,< 20,1,Other,"<$20,000",Other,Part-time Remote,It's not my preference. I'd prefer to be in an office,A home office,31
Sweden,20-24,1,Student,Student / Unemployed,Student,Never,,,0
United Kingdom,40-50,1,Mobile Application Developer,"$40,000 - $60,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,47
Australia,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,55
Australia,< 20,NA,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Not Currently Employed,Never,,,42
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Other,Occasionally,I'm neutral about it,A home office,39
United States,25-29,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Never,,,48
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,A home office,45
Canada,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,I'm neutral about it,A coffee shop,33
United States,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Government,Occasionally,,,0
Denmark,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Education,Occasionally,I'm neutral about it,A home office,49
Australia,20-24,1,Back-End Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,33
United States,30-34,1,Other,"$100,000 - $120,000",Consulting,Full-time Remote,I love it,A home office,90
United States,25-29,1,Full-Stack Web Developer,"$120,000 - $140,000",Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,51
United States,20-24,1,Student,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,A co-working space,0
Switzerland,25-29,1,Student,Student / Unemployed,Student,Occasionally,"I like it, though I like visiting the office occasionally",A home office,55
Brazil,20-24,1,Student,Student / Unemployed,Student,Occasionally,I love it,A home office,32
South Africa,20-24,1,Back-End Web Developer,"<$20,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",Other,40
United States,25-29,0,Embedded Application Developer,"$80,000 - $100,000",Consulting,Full-time Remote,I love it,A co-working space,43
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,38
United States,35-39,1,Mobile Application Developer,"$120,000 - $140,000",Government,Never,,,37
United States,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,32
India,< 20,1,Student,Student / Unemployed,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,100
Canada,,,,,,,,,0
United States,51-60,1,Other,"$120,000 - $140,000",Software Products,Part-time Remote,It's not my preference. I'd prefer to be in an office,My couch,0
United States,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Manufacturing,Never,,,61
United States,51-60,1,Manager of Developers or Team Leader,"$120,000 - $140,000",Healthcare,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,56
Sweden,< 20,1,Student,Student / Unemployed,Student,Occasionally,,,0
Mexico,25-29,1,Mobile Application Developer,"<$20,000",Not Currently Employed,Part-time Remote,,,0
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,48
Turkey,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Consulting,Occasionally,I love it,My couch,52
Lithuania,25-29,1,Student,Student / Unemployed,Student,Occasionally,I love it,A home office,99
United Kingdom,40-50,1,Enterprise Level Services,"$60,000 - $80,000",Manufacturing,Never,,,60
United States,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,I'm neutral about it,A home office,42
United States,35-39,NA,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,45
United States,30-34,1,Back-End Web Developer,"$100,000 - $120,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,38
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,66
United States,20-24,1,Back-End Web Developer,,Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,79
United States,25-29,1,Back-End Web Developer,"$40,000 - $60,000",Healthcare,Never,,,40
